country,country_serial,metric,unit,sector,sub_sector,sub_sub_sector,source_link,source,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Egypt,EG,Electricity generated from hydropower (GWh),GWh,Electricity,Supply,Electricity generated from hydropower (GWh),https://africa-energy-portal.org/aep/country/egypt,AFREC Database,14659.0,13697.0,15130.0,12859.0,13019.0,12644.0,12925.0,15510.0,15510.0,12863.0,13045.7001953125,13046.0,12935.0,12940.0,13822.0,13432.0,13490.7998046875,13674.53515625,13860.8134765625,14049.8046875,14241.6630859375,16245.900390625,,,
Egypt,EG,"Electricity generation, Total (GWh)",GWh,Electricity,Supply,"Electricity generation, Total (GWh)",https://africa-energy-portal.org/aep/country/egypt,AFREC Database,76463.0,80038.0,87194.0,89354.0,95183.0,108690.0,115407.0,125129.0,125129.0,139000.0,146794.890625,146667.65625,157024.375,157029.375,171719.0,186207.0,194357.796875,196617.625,198970.890625,201414.921875,203949.046875,210832.59375,,,
Egypt,EG,"Electricity installed capacity, Total (MW)",MW,Electricity,Technical,"Electricity installed capacity, Total (MW)",https://africa-energy-portal.org/aep/country/egypt,IRENA database,17283.099609375,17276.5,17108.599609375,18845.400390625,19539.400390625,21173.400390625,22708.400390625,23288.5,24222.900390625,25427.30078125,27682.0,29732.0,31457.0,32672.0,32672.0,35319.8984375,38947.0,45198.1484375,55735.69921875,58433.5,59176.390625,59617.30078125,59681.30078125,,
Equatorial Guinea,GQ,Electricity generated from hydropower (GWh),GWh,Electricity,Supply,Electricity generated from hydropower (GWh),https://africa-energy-portal.org/aep/country/equatorial-guinea,AFREC Database,2.0,2.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,14.0,14.0159997940063,14.0159997940063,17.5200004577637,443.0,466.911987304688,471.261138916016,438.169586181641,442.884552001953,448.431732177734,454.773040771484,498.779998779297,,,
Equatorial Guinea,GQ,"Electricity generation, Total (GWh)",GWh,Electricity,Supply,"Electricity generation, Total (GWh)",https://africa-energy-portal.org/aep/country/equatorial-guinea,AFREC Database,42.0,54.0,61.0,76.0,80.0,85.0,90.0,94.0,94.0,94.0,53.0,49.9679985046387,53.9679985046387,53.4720001220703,478.0,500.018493652344,513.165161132813,466.159729003906,472.431030273438,479.58056640625,487.5751953125,1426.97998046875,,,
Equatorial Guinea,GQ,"Electricity installed capacity, Total (MW)",MW,Electricity,Technical,"Electricity installed capacity, Total (MW)",https://africa-energy-portal.org/aep/country/equatorial-guinea,IRENA database,35.7999992370605,35.7999992370605,35.7999992370605,35.7999992370605,35.7999992370605,35.7999992370605,35.7999992370605,59.7999992370605,59.7999992370605,59.7999992370605,79.8000030517578,79.8000030517578,347.799987792969,347.799987792969,347.799987792969,347.799987792969,371.959991455078,396.153991699219,401.464996337891,401.446990966797,401.436004638672,401.299987792969,401.117004394531,,
Eritrea,ER,Electricity generated from hydropower (GWh),GWh,Electricity,Supply,Electricity generated from hydropower (GWh),https://africa-energy-portal.org/aep/country/eritrea,AFREC Database,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Eritrea,ER,"Electricity generation, Total (GWh)",GWh,Electricity,Supply,"Electricity generation, Total (GWh)",https://africa-energy-portal.org/aep/country/eritrea,AFREC Database,210.0,232.0,258.0,277.0,283.0,289.0,268.0,288.0,287.0,295.0,311.0,339.1171875,386.753997802734,367.365203857422,395.0,406.0,421.0,434.042907714844,447.782348632813,462.258605957031,477.516662597656,387.279998779297,,,
Eritrea,ER,"Electricity installed capacity, Total (MW)",MW,Electricity,Technical,"Electricity installed capacity, Total (MW)",https://africa-energy-portal.org/aep/country/eritrea,IRENA database,164.0,164.0,164.0,166.0,166.0,166.0,166.0,166.82600402832,139.776000976563,139.776000976563,139.779006958008,139.830001831055,139.848007202148,139.860000610352,147.684005737305,167.684005737305,168.839004516602,231.179000854492,232.688995361328,232.744003295898,232.731002807617,231.949996948242,231.610000610352,,
Eswatini,SZ,Electricity generated from hydropower (GWh),GWh,Electricity,Supply,Electricity generated from hydropower (GWh),https://africa-energy-portal.org/aep/country/eswatini,AFREC Database,192.0,243.800003051758,201.0,123.0,103.5,160.0,156.0,165.811111450195,157.0,288.0,288.100006103516,211.6416015625,272.299987792969,239.800003051758,212.0,216.259719848633,220.625747680664,225.104248046875,207.801406860352,212.049011230469,216.391555786133,291.5,,,
Eswatini,SZ,"Electricity generation, Total (GWh)",GWh,Electricity,Supply,"Electricity generation, Total (GWh)",https://africa-energy-portal.org/aep/country/eswatini,AFREC Database,451.0,502.800018310547,453.0,378.0,338.5,393.0,570.0,763.25,555.0,669.0,726.100036621094,786.001586914063,872.659973144531,639.5,847.0,885.923095703125,903.965270996094,922.97216796875,840.841003417969,859.740417480469,879.397766113281,570.900024414063,,,
Eswatini,SZ,"Electricity installed capacity, Total (MW)",MW,Electricity,Technical,"Electricity installed capacity, Total (MW)",https://africa-energy-portal.org/aep/country/eswatini,IRENA database,113.800003051758,113.803001403809,113.803001403809,113.80899810791,113.847999572754,113.915000915527,113.952003479004,114.015998840332,133.845993041992,133.875,134.216995239258,195.835006713867,195.860992431641,195.878005981445,178.904006958008,178.929992675781,179.029998779297,179.029998779297,179.029998779297,179.029998779297,179.065002441406,189.065002441406,189.065002441406,,
Ethiopia,ET,Electricity generated from hydropower (GWh),GWh,Electricity,Supply,Electricity generated from hydropower (GWh),https://africa-energy-portal.org/aep/country/ethiopia,AFREC Database,1789.80004882813,1991.80004882813,2023.59997558594,2279.0,2532.19995117188,2845.23999023438,3291.5400390625,3370.09008789063,3370.0,3296.0,3524.0,4931.0,6241.0,7388.0,9013.0,9674.0,10350.7001953125,10825.072265625,12358.724609375,13016.3046875,13758.95703125,15295.5,,,
Ethiopia,ET,"Electricity generation, Total (GWh)",GWh,Electricity,Supply,"Electricity generation, Total (GWh)",https://africa-energy-portal.org/aep/country/ethiopia,AFREC Database,1817.80004882813,2011.80004882813,2064.60009765625,2318.0,2579.19995117188,2895.23999023438,3331.5400390625,3532.09008789063,3801.8701171875,3744.0,3579.0,5086.14404296875,6555.31591796875,7885.4287109375,9514.0,10437.0,11168.833984375,11809.7529296875,13350.3369140625,14033.953125,14807.125,15943.2841796875,,,
